,name,PO,PKO,IP,GS,A,SB,CS,DP,PB,E,FPCT,CS%
0,고효준,1,0,51.0,2,4,0,0,0,0,2,0.7142857142857143,0.0
1,김강민,186,0,692.0,78,6,0,0,2,0,1,0.9948186528497409,0.0
2,김광현,12,1,176.66666666666666,29,30,0,0,1,0,2,0.9545454545454546,0.0
3,김기현,1,0,9.0,0,0,0,0,0,0,0,1.0,0.0
4,김민식,37,0,31.333333333333332,1,1,1,0,0,0,0,1.0,0.0
5,김성현,168,0,1007.6666666666666,119,328,0,0,75,0,23,0.9556840077071291,0.0
6,김연훈,42,0,185.66666666666666,17,63,0,0,17,0,4,0.963302752293578,0.0
7,김재현,8,0,40.666666666666664,0,0,0,0,0,0,1,0.8888888888888888,0.0
8,김태훈,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.0,0.0
9,나주환,141,0,644.3333333333334,71,186,0,0,44,0,7,0.9790419161676647,0.0
10,문광은,4,0,64.33333333333333,1,6,0,0,0,0,0,1.0,0.0
11,박계현,121,0,681.3333333333333,81,188,0,0,35,0,10,0.9686520376175548,0.0
12,박민호,3,0,27.333333333333332,0,7,0,0,1,0,0,1.0,0.0
13,박윤,68,0,70.66666666666667,6,8,0,0,6,0,1,0.987012987012987,0.0
14,박재상,111,0,543.0,56,3,0,0,0,0,2,0.9827586206896551,0.0
15,박정권,897,0,973.6666666666666,112,78,0,0,83,0,8,0.9918616480162767,0.0
16,박정배,0,0,25.333333333333332,0,6,0,0,0,0,0,1.0,0.0
17,박종훈,16,0,118.0,23,9,0,0,0,0,3,0.8928571428571429,0.0
18,박진만,86,0,373.0,32,75,0,0,18,0,2,0.9877300613496932,0.0
19,박철우,1,0,29.666666666666664,0,8,0,0,1,0,0,1.0,0.0
20,박희수,0,0,10.0,1,2,0,0,0,0,0,1.0,0.0
21,백인식,1,0,20.666666666666668,4,2,0,0,0,0,0,1.0,0.0
22,밴와트,1,0,56.333333333333336,12,9,0,0,0,0,0,1.0,0.0
23,브라운,313,0,909.6666666666667,111,35,0,0,21,0,3,0.9914529914529915,0.0
24,서진용,2,0,21.333333333333332,0,2,0,0,0,0,0,1.0,0.0
25,세든,1,2,74.0,14,12,0,0,0,0,3,0.8125,0.0
26,신재웅,3,1,50.333333333333336,0,6,0,0,0,0,1,0.9,0.0
27,안정광,2,0,38.0,4,9,0,0,2,0,1,0.9166666666666666,0.0
28,유서준,6,0,32.0,2,9,0,0,4,0,0,1.0,0.0
29,윤길현,1,0,62.666666666666664,0,4,0,0,0,0,1,0.8333333333333334,0.0
30,윤석주,0,0,1.3333333333333333,0,1,0,0,0,0,0,1.0,0.0
31,윤중환,10,0,47.0,4,0,0,0,0,0,0,1.0,0.0
32,윤희상,5,0,93.33333333333333,21,11,0,0,0,0,1,0.9411764705882353,0.0
33,이대수,12,0,146.66666666666666,19,48,0,0,5,0,2,0.967741935483871,0.0
34,이명기,182,0,930.6666666666666,114,1,0,0,1,0,2,0.9891891891891892,0.0
35,이재영,2,0,31.0,0,4,0,0,1,0,0,1.0,0.0
36,이재원,500,0,563.3333333333334,67,37,42,18,3,5,3,0.9944444444444445,30.0
37,이진석,0,0,5.0,0,0,0,0,0,0,0,0.0,0.0
38,이창욱,2,0,3.0,0,0,0,0,0,0,0,1.0,0.0
39,이한진,1,0,4.666666666666667,0,0,0,0,0,0,0,1.0,0.0
40,이현석,6,0,6.0,0,0,0,0,0,0,0,1.0,0.0
41,전유수,2,1,77.66666666666667,0,9,0,0,1,0,0,1.0,0.0
42,정상호,580,2,631.0,74,46,64,29,4,1,7,0.9889415481832543,31.182795698924732
43,정우람,0,0,70.0,0,9,0,0,0,0,0,1.0,0.0
44,정의윤,52,0,302.6666666666667,37,3,0,0,2,0,1,0.9821428571428571,0.0
45,조동화,115,0,594.6666666666666,65,6,0,0,2,0,1,0.9918032786885246,0.0
46,채병용,5,0,83.0,8,7,0,0,0,0,0,1.0,0.0
47,최정,43,0,596.0,71,133,0,0,14,0,4,0.9777777777777777,0.0
48,최정민,10,0,41.0,4,19,0,0,6,0,0,1.0,0.0
49,켈리,14,0,181.0,29,41,0,0,3,0,1,0.9821428571428571,0.0
50,허웅,46,1,49.0,2,3,1,0,0,0,0,1.0,0.0
51,홍명찬,2,0,4.666666666666667,0,0,0,0,0,0,0,1.0,0.0
