,rank,name,team,AVG,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,1,양원혁,LG,0.500,0,1,0,-,0,-,3.00,0.000,0.4,0.350
1,2,서상우,LG,0.340,14,36,38,0.95,3,0.29,4.15,0.164,28.6,0.299
2,3,안익훈,LG,0.339,3,18,13,1.38,0,0.90,4.18,0.065,10.4,0.291
3,4,강병의,LG,0.333,0,1,0,-,0,0.00,4.00,0.000,-0.1,0.233
4,5,한나한,LG,0.327,13,24,20,1.20,3,0.39,4.38,0.196,21.3,0.311
5,6,박용택,LG,0.326,48,127,135,0.94,10,0.47,3.77,0.177,85.3,0.292
6,7,백창수,LG,0.323,4,8,10,0.80,0,1.00,3.39,0.129,5.1,0.285
7,8,히메네스,LG,0.312,30,40,108,0.37,2,0.25,3.73,0.194,47.1,0.281
8,9,정성훈,LG,0.284,26,106,93,1.14,5,0.83,3.97,0.124,61.2,0.278
9,10,임훈,LG,0.278,14,73,67,1.09,0,0.59,3.70,0.067,33.4,0.250
10,11,오지환,LG,0.278,56,117,124,0.94,9,0.49,4.29,0.165,80.4,0.271
11,12,나성용,LG,0.274,5,11,13,0.85,0,0.14,3.94,0.151,9.6,0.254
12,13,유강남,LG,0.272,20,68,81,0.84,4,0.35,3.74,0.133,35.6,0.251
13,14,황목치승,LG,0.268,4,25,18,1.39,2,0.20,3.62,0.070,6.6,0.212
14,15,이민재,LG,0.267,1,8,7,1.14,0,0.13,3.68,0.033,2.9,0.211
15,16,양석환,LG,0.260,31,73,120,0.61,4,0.24,3.99,0.134,39.1,0.230
16,17,이진영,LG,0.256,15,87,84,1.04,6,0.76,3.89,0.113,39.1,0.250
17,18,김용의,LG,0.251,6,51,39,1.31,1,0.58,4.11,0.041,18.8,0.229
18,19,채은성,LG,0.249,17,56,38,1.47,2,0.36,3.94,0.156,22.4,0.244
19,20,손주인,LG,0.246,9,51,93,0.55,1,0.49,3.90,0.037,20.5,0.209
20,21,이병규,LG,0.243,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.279
21,22,문선재,LG,0.226,19,48,63,0.76,1,0.43,4.17,0.142,24.6,0.232
22,23,이병규,LG,0.219,8,34,24,1.42,1,0.28,3.65,0.104,6.7,0.196
23,24,장준원,LG,0.208,0,5,7,0.71,0,0.13,3.73,0.000,1.4,0.156
24,25,최경철,LG,0.208,11,43,48,0.90,2,0.25,3.88,0.098,18.5,0.207
25,26,박지규,LG,0.205,9,49,39,1.26,2,0.20,4.07,0.058,11.7,0.182
26,27,박성준,LG,0.200,0,1,6,0.17,0,2.00,3.42,0.000,1.0,0.200
27,28,김영관,LG,0.143,1,7,2,3.50,0,0.00,3.81,0.143,0.4,0.136
28,29,윤진호,LG,0.083,0,4,4,1.00,0,0.00,4.08,0.000,-0.3,0.058
29,30,최승준,LG,0.077,0,7,11,0.64,0,0.57,4.35,0.000,0.5,0.107
