,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,이정식,삼성,0.400,5,5,5,0,2,0,0,0,2,0,0,0,0,0,2,0.00,0,0.00,3.20,0.000,0.7,0.28
1,배영섭,삼성,0.375,4,18,16,2,6,0,0,0,6,2,0,0,0,4,2,2.00,1,0.50,4.33,0.000,2.2,0.294
2,구자욱,삼성,0.349,116,465,410,97,143,33,5,11,219,57,0,4,49,89,103,0.86,2,0.57,3.97,0.185,85.7,0.321
3,채태인,삼성,0.348,104,373,333,35,116,19,0,8,159,49,0,4,27,72,57,1.26,5,0.36,3.82,0.129,58.5,0.303
4,이승엽,삼성,0.332,122,522,470,87,156,28,1,26,264,90,0,6,55,114,135,0.84,8,0.56,3.86,0.230,94.3,0.315
5,진갑용,삼성,0.324,39,73,68,8,22,2,0,3,33,10,0,1,5,20,18,1.11,1,0.44,3.82,0.162,10.7,0.281
6,박석민,삼성,0.321,135,559,448,90,144,25,0,26,247,116,1,8,51,103,112,0.92,14,0.86,4.26,0.230,107.2,0.336
7,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8,67,114,166,0.69,18,0.72,4.02,0.245,115.6,0.322
8,이지영,삼성,0.305,124,400,361,36,110,10,1,1,125,55,16,5,12,136,88,1.55,5,0.44,3.11,0.042,40.3,0.23600000000000002
9,박한이,삼성,0.300,94,429,367,62,110,17,4,11,168,52,7,1,32,128,67,1.91,5,0.84,3.90,0.158,61.7,0.29
10,박해민,삼성,0.293,144,608,525,96,154,22,7,0,190,47,23,2,29,160,87,1.84,6,0.44,3.90,0.069,77.8,0.253
11,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9,68,137,181,0.76,11,1.29,4.21,0.309,126.1,0.326
12,김상수,삼성,0.278,132,518,449,67,125,30,4,8,187,63,13,7,42,126,149,0.85,5,0.77,3.71,0.138,68.7,0.259
13,백상원,삼성,0.247,52,94,77,10,19,5,0,0,24,7,2,1,5,21,16,1.31,1,0.59,4.55,0.065,9.7,0.24
14,이흥련,삼성,0.238,71,108,105,16,25,7,0,1,35,17,1,0,8,32,26,1.23,2,0.05,3.57,0.095,8.0,0.19699999999999998
15,이영욱,삼성,0.227,38,26,22,8,5,2,0,0,7,2,0,0,2,5,2,2.50,0,0.30,4.35,0.091,2.4,0.235
16,박찬도,삼성,0.213,116,106,89,32,19,2,1,0,23,9,5,0,3,22,23,0.96,0,0.32,4.08,0.045,8.3,0.203
17,우동균,삼성,0.208,37,82,72,12,15,4,0,0,19,6,1,0,4,26,19,1.37,0,0.75,4.02,0.056,4.9,0.19899999999999998
18,김재현,삼성,0.171,73,48,41,7,7,0,0,0,7,5,2,0,0,12,11,1.09,1,0.45,3.50,0.000,1.8,0.16
19,김정혁,삼성,0.167,17,20,18,3,3,0,0,0,3,1,1,0,0,5,7,0.71,0,0.33,3.85,0.000,0.5,0.13699999999999998
20,최선호,삼성,0.167,33,44,42,8,7,1,0,0,8,1,2,0,1,9,13,0.69,0,0.00,3.34,0.024,0.9,0.12300000000000001
21,강봉규,삼성,0.000,5,8,6,0,0,0,0,0,0,0,0,0,0,2,1,2.00,0,0.33,3.25,0.000,0.1,0.113
22,김태완,삼성,0.000,4,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0,0.50,6.33,0.000,-0.1,0.075
23,박계범,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
24,심창민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
25,윤영수,삼성,0.000,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.00,5.00,0.000,-0.2,0.0
26,이상훈,삼성,0.000,4,8,7,0,0,0,0,0,0,0,1,0,0,3,2,1.50,0,0.00,3.88,0.000,-0.6,0.0
27,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
28,정인욱,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
29,최민구,삼성,-,6,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.00,0,-,5.00,-,0.4,0.0
