,name,SBA,SB%,OOB
0,강병의,3,33.33333333333333,0
1,김영관,0,0.0,0
2,김용의,17,64.70588235294117,2
3,김재성,0,0.0,1
4,김재율,0,0.0,0
5,김지용,0,0.0,0
6,나성용,0,0.0,1
7,문선재,15,60.0,3
8,박성준,0,0.0,1
9,박용택,15,73.33333333333333,2
10,박지규,8,62.5,2
11,백창수,0,0.0,0
12,봉중근,0,0.0,0
13,서상우,6,83.33333333333334,2
14,손주인,7,42.857142857142854,2
15,신승현,0,0.0,0
16,안익훈,2,50.0,3
17,양석환,12,50.0,3
18,양원혁,0,0.0,0
19,오지환,35,71.42857142857143,7
20,유강남,3,66.66666666666666,2
21,유원상,0,0.0,0
22,윤진호,1,100.0,2
23,이동현,0,0.0,0
24,이민재,1,0.0,1
25,이병규,3,66.66666666666666,0
26,이준형,0,0.0,0
27,이진영,6,33.33333333333333,2
28,임훈,5,60.0,4
29,장준원,0,0.0,1
30,정성훈,13,69.23076923076923,4
31,조윤준,0,0.0,0
32,진해수,0,0.0,0
33,채은성,6,50.0,2
34,최경철,4,75.0,5
35,최동환,0,0.0,0
36,최승준,0,0.0,0
37,한나한,0,0.0,1
38,황목치승,2,100.0,0
39,히메네스,10,80.0,2
