,rank,name,team,G,SBA,SB,CS,SB%,OOB,PKO
0,1,박민우,NC,141,62,46,16,74.2,3,5
1,2,김종호,NC,133,51,41,10,80.4,4,1
2,3,테임즈,NC,142,48,40,8,83.3,10,1
3,4,나성범,NC,144,27,23,4,85.2,4,1
4,5,이종욱,NC,125,21,17,4,81.0,3,0
5,6,최재원,NC,114,19,14,5,73.7,1,1
6,7,모창민,NC,103,5,5,0,100,3,0
7,8,지석훈,NC,137,5,4,1,80.0,6,1
8,9,김성욱,NC,125,6,3,3,50.0,2,1
9,9,손시헌,NC,140,5,3,2,60.0,4,1
10,9,조영훈,NC,103,3,3,0,100,0,0
11,12,김준완,NC,30,3,2,1,66.7,0,1
12,12,용덕한,NC,91,3,2,1,66.7,1,0
13,14,김태군,NC,144,2,1,1,50.0,3,1
14,15,강구성,NC,4,0,0,0,-,0,0
15,15,강민국,NC,1,0,0,0,-,0,0
16,15,강장산,NC,2,0,0,0,-,0,0
17,15,고창성,NC,1,0,0,0,-,0,0
18,15,김태진,NC,1,0,0,0,-,0,0
19,15,노성호,NC,1,0,0,0,-,0,0
20,15,노진혁,NC,65,0,0,0,-,0,0
21,15,마낙길,NC,1,1,0,1,0.0,0,0
22,15,민성기,NC,3,0,0,0,-,0,0
23,15,박광열,NC,33,1,0,1,0.0,1,0
24,15,박정준,NC,19,0,0,0,-,0,0
25,15,손민한,NC,1,0,0,0,-,0,0
26,15,윤병호,NC,9,0,0,0,-,0,0
27,15,이민호,NC,1,0,0,0,-,0,0
28,15,이창섭,NC,16,0,0,0,-,0,0
29,15,이태양,NC,1,0,0,0,-,0,0
30,15,이혜천,NC,3,0,0,0,-,0,0
31,15,이호준,NC,131,2,0,2,0.0,5,0
32,15,임정호,NC,1,0,0,0,-,0,0
33,15,임창민,NC,2,0,0,0,-,0,0
34,15,조평호,NC,22,0,0,0,-,0,0
35,15,최금강,NC,1,0,0,0,-,0,0
36,15,황윤호,NC,10,0,0,0,-,0,0
