,p_number,name,salary,entry_yr,team
0,74402,이정식,4500만원,04삼성,Samsung
1,79465,배영섭,16000만원,09삼성,Samsung
2,62404,구자욱,8000만원,12삼성,Samsung
3,77463,채태인,30000만원,03보스턴,Samsung
4,95436,이승엽,100000만원,95삼성,Samsung
5,74465,박석민,75000만원,04삼성,Samsung
6,72443,최형우,70000만원,02삼성,Samsung
7,79456,이지영,21000만원,09삼성,Samsung
8,71432,박한이,45000만원,01삼성,Samsung
9,62415,박해민,15000만원,12삼성,Samsung
10,79402,김상수,31000만원,09삼성,Samsung
11,60456,백상원,4500만원,10삼성,Samsung
12,63440,이흥련,7500만원,13삼성,Samsung
13,78467,이영욱,5500만원,08삼성,Samsung
14,62409,박찬도,3100만원,12삼성,Samsung
15,78454,우동균,5500만원,08삼성,Samsung
16,64499,김재현,4500만원,14삼성,Samsung
17,61463,김정혁,3300만원,09상무,Samsung
18,64493,최선호,3500만원,15삼성,Samsung
19,74158,김태완,6000만원,04LG,Samsung
20,64468,박계범,2900만원,14삼성,Samsung
21,61411,심창민,14000만원,11삼성,Samsung
22,65405,윤영수,2900만원,15삼성,Samsung
23,60724,이상훈,3500만원,10한화,Samsung
24,95657,임창용,30000만원,95해태,Samsung
25,79440,정인욱,6000만원,09삼성,Samsung
26,65447,최민구,2900만원,15삼성,Samsung
27,95657,임창용,30000만원,95해태,Samsung
28,74630,박근홍,11000만원,04KIA,Samsung
29,75268,조현근,4500만원,05두산,Samsung
30,72463,안지만,75000만원,02삼성,Samsung
31,74454,윤성환,80000만원,04삼성,Samsung
32,61411,심창민,14000만원,11삼성,Samsung
33,76455,차우찬,40000만원,06삼성,Samsung
34,76355,장원삼,75000만원,06현대,Samsung
35,71851,김건한,6000만원,01SK,Samsung
36,77446,백정현,5500만원,07삼성,Samsung
37,72649,신용운,5500만원,02KIA,Samsung
38,76461,김기태,4000만원,06삼성,Samsung
39,60457,김현우,4500만원,10삼성,Samsung
40,99445,권오준,7000만원,99삼성,Samsung
41,79440,정인욱,6000만원,09삼성,Samsung
42,61457,임현준,3300만원,11삼성,Samsung
43,77927,장필준,2800만원,07상무,Samsung
